model,winnow,trials,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,F1,Detection_Rate,Balanced_Accuracy,logLoss,AUC,MCC,AccuracySD,KappaSD,AccuracyLowerSD,AccuracyUpperSD,AccuracyPValueSD,McnemarPValueSD,SensitivitySD,SpecificitySD,Pos_Pred_ValueSD,Neg_Pred_ValueSD,PrecisionSD,RecallSD,F1SD,Detection_RateSD,Balanced_AccuracySD,logLossSD,AUCSD,MCCSD
rules,FALSE,1,0.66227087206842,0.337806528117619,0.652874048955616,0.671572472405165,1.67564012322984e-142,0,0.491263205147928,0.771787702312466,0.765602848027533,0.85042363741401,0.765602848027533,0.491263205147928,0.496721819028025,0.22075695735614,0.631525453730197,1.73159046648791,0.636861651869002,0.393491373001448,0.00363226820191544,0.00776423005779285,0.0036557418009678,0.00360666096303238,9.17784781652634e-142,0,0.00433723969279746,0.00248613832996969,0.0105706433465932,0.00499489398415076,0.0105706433465932,0.00433723969279746,0.00610474088506383,0.00121075606730515,0.00335759505280998,0.486035740612617,0.00862138795051419,0.00836261839119038
rules,TRUE,1,0.66090852170891,0.327349140042414,0.6515029948151,0.670219625912048,1.87987814676948e-138,0,0.483814295878894,0.767597706231705,0.796688261959055,0.870144582204253,0.796688261959055,0.483814295878894,0.484426103477098,0.220302840569637,0.625706001055299,3.11257258490956,0.613040663827859,0.402631518537567,0.00389208777592734,0.00912470815061941,0.00391695712419827,0.00386493184627765,1.02964737520018e-137,0,0.00523082206957855,0.00292799651364925,0.00324457250805806,0.00318299957929552,0.00324457250805806,0.00523082206957855,0.0077259751051015,0.00129736259197578,0.00403121889049724,0.047191434702262,0.00412583433740553,0.0074123803138461
tree,FALSE,1,0.66099908858345,0.337424638529708,0.651594141525953,0.670309559781062,8.77248745117552e-138,0,0.491509772919655,0.772010378134986,0.743276001277509,0.845363995765063,0.743276001277509,0.491509772919655,0.497327484659045,0.220333029527817,0.631760075527321,0.47615228101091,0.685867231568642,0.388542431429014,0.00389939055279202,0.00806399761447847,0.00392429225969285,0.00387219889733315,4.80409230519697e-137,0,0.00457698451505024,0.00254852356800564,0.0137679803879069,0.00480651549470073,0.0137679803879068,0.00457698451505024,0.00630522169818496,0.00129979685093067,0.00350472087381436,0.00305912132757605,0.00391394856258655,0.0090818503902618
tree,TRUE,1,0.660871605354237,0.32776455086058,0.651465849446421,0.670182960253398,1.87987814676423e-138,0,0.484109848570031,0.767790844543459,0.7954760067214,0.868527234730793,0.7954760067214,0.484109848570031,0.484982017410743,0.220290535118079,0.625950346556745,0.477737632885837,0.659049085603727,0.401570765306529,0.00393091680014289,0.00932153128812112,0.00395604991427076,0.00390347443490883,1.02964737520027e-137,0,0.00540769315465493,0.00301582912450346,0.00460466286505035,0.0050381471668936,0.00460466286505026,0.00540769315465493,0.00807081867666394,0.00131030560004763,0.00416630948911996,0.00369989405511054,0.0151357615836966,0.00779254690524769
rules,FALSE,10,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,10,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,10,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
tree,TRUE,10,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
rules,FALSE,20,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,20,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,20,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
tree,TRUE,20,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
rules,FALSE,30,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,30,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,30,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
tree,TRUE,30,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
rules,FALSE,40,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,40,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,40,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
tree,TRUE,40,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
rules,FALSE,50,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,50,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,50,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
tree,TRUE,50,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
rules,FALSE,60,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,60,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,60,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
