model,winnow,trials,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,F1,Detection_Rate,Balanced_Accuracy,logLoss,AUC,MCC,AccuracySD,KappaSD,AccuracyLowerSD,AccuracyUpperSD,AccuracyPValueSD,McnemarPValueSD,SensitivitySD,SpecificitySD,Pos_Pred_ValueSD,Neg_Pred_ValueSD,PrecisionSD,RecallSD,F1SD,Detection_RateSD,Balanced_AccuracySD,logLossSD,AUCSD,MCCSD
tree,TRUE,60,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
rules,FALSE,70,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,70,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,70,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
tree,TRUE,70,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
rules,FALSE,80,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,80,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,80,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
tree,TRUE,80,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
rules,FALSE,90,0.660049558466445,0.339982395593356,0.650638579831715,0.669366618824851,8.74908901112661e-138,0,0.49278825514781,0.773514589371204,0.773065184414467,0.833710606121429,0.773065184414467,0.49278825514781,0.499622885077651,0.220016519488815,0.633151422259507,1.42923197431634,0.663105800106349,0.380137828173628,0.00400300973677275,0.0080957493248151,0.00402824393969069,0.00397542241117877,3.40044032769662e-137,0,0.00440275420653276,0.00268968782739076,0.00513542352620058,0.00613006854752636,0.00513542352620058,0.00440275420653276,0.00610480320510301,0.00133433657892425,0.0034672623502282,0.0892023440741015,0.00524039438652559,0.00917188177092274
rules,TRUE,90,0.651291417786269,0.305599081555288,0.641827382636874,0.660666677666852,4.95249544530278e-114,0,0.456522265485585,0.762830699009605,0.78959087816107,0.864465427261872,0.78959087816107,0.456522265485585,0.488422059320246,0.21709713926209,0.609676482247595,2.80992620871076,0.615408358551936,0.374375604991147,0.00721107533199774,0.0185153469178075,0.00725458704635854,0.00716332906783607,2.64103162360047e-113,0,0.0201285332635531,0.00496698191383838,0.00418132397671311,0.00493200924184742,0.0041813239767131,0.0201285332635531,0.00985927721728215,0.00240369177733258,0.0123872329762636,0.501158275843149,0.0158125271750907,0.0160153275811066
tree,FALSE,90,0.659891797902166,0.338590885570833,0.650479955868284,0.669209814307957,4.2634345607768e-137,0,0.491979610877491,0.772930266707254,0.773213355062985,0.835527422706237,0.773213355062985,0.491979610877491,0.49851826187207,0.219963932634055,0.632454938792373,1.3869540208877,0.663792636399121,0.380683995219762,0.00470853769481014,0.00952454105620759,0.00473847479908618,0.00467583437143609,2.32652667885058e-136,0,0.00496103006333498,0.00308273422092418,0.00497442597344518,0.00587969462651044,0.0049744259734452,0.00496103006333498,0.00669322731098534,0.00156951256493671,0.00396367614199462,0.0656425301795801,0.00449727579174373,0.0104758866212546
tree,TRUE,90,0.651069949719557,0.305423286944472,0.641604530727644,0.66044672350169,4.95249544530278e-114,0,0.456550831794549,0.762807024711838,0.78744091056451,0.863606650385231,0.78744091056451,0.456550831794549,0.488965919856719,0.217023316573186,0.609678928253194,2.7732653419002,0.616218992512444,0.37351902154055,0.0069952088094047,0.0181173229716266,0.00703739730003281,0.00694891254769771,2.64103162360047e-113,0,0.0201089395826342,0.00484762663936835,0.00850684206056603,0.00728324323489444,0.00850684206056603,0.0201089395826342,0.00865149457107249,0.00233173626980157,0.012323829766132,0.555323679511748,0.016980525196187,0.0158056065617271
